MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"BBP14/03","Risk Management Programme","Custom","New Zealand Pharmaceuticals Limited","","9429040867731","Registered","2020-12-08","","Ministry for Primary Industries - Verification Services","No","","","","","68 Weld Street, RD 2","Palmerston North","Palmerston North City Council","3","Palmerston North City Council, Southland District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Red meat","","Acidification, Blending/mixing, Drying/reduction of water activity, Extraction, Hydrolysis, Non-refrigerated storage (processes & receives external product);Packing/repacking, Pharmaceutical/biological processing, Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT",""
"BBP7/01","Risk Management Programme","Custom","Global Life Sciences Solutions New Zealand","","9429047521339","Registered","2019-12-09","","Ministry for Primary Industries - Verification Services","No","","","","","433 Old Highway, RD 8","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Not for human or animal consumption","Animal products (non-dairy)","","Industrial Use",""
"BC01/01","Risk Management Programme","Custom","Bay Cuisine Limited","","9429000053259","Registered","2022-10-06","","Ministry for Primary Industries - Verification Services","No","","","","","70 Dunlop Road, Onekawa","Napier","Napier City Council","1","Napier City Council","N/A","N/A","Human Consumption","Non-AP, Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigeration;Salting/curing/brining;Size reduction;Slicing;Smoking;Thermal processing other than in-container retorting/UHT;Transport, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Slicing, Smoking, Thermal processing other than in-container retorting/UHT, Transport",""
"BCD1/01","Risk Management Programme","Stores - Cold and Dry","Big Chill Distribution Limited","","9429037742119","Registered","2023-09-11","","Ministry for Primary Industries - Verification Services","No","","","","","28 Pukekiwiriki Place, Highbrook, East Tamaki","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy)","","Refrigerated storage (stand-alone)",""
"BCD2/01","Risk Management Programme","Stores - Cold and Dry","Big Chill Distribution Limited","","9429037742119","Registered","2023-10-03","","Ministry for Primary Industries - Verification Services","No","","","","","8 Te Ipukura Street, Hillcrest","Hamilton","Hamilton City Council","1","Hamilton City Council","BCD2","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Dairy products, Non-AP","","Refrigerated storage (stand-alone), Refrigerated storage (stand-alone);Repacking (product not exposed), Repacking (product not exposed)",""
"BCSBEES2/01","Risk Management Programme","Bee products - Bulk honey storage","BCS Apiaries Limited","","9429035047339","Registered","2022-05-09","","AsureQuality Limited","No","","","","","73 Te Manu Road, Ngongotaha Valley","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Human Consumption","Bee products","","Non-refrigerated storage (stand-alone), Transport",""
"BDH535/01","Risk Management Programme","Bee products - Bulk honey storage","Boondock Honey Co Limited","","9429036410019","Registered","2014-04-09","","Ministry for Primary Industries - Verification Services","No","","","","","535 No 3 Road","Te Puke","Western Bay Of Plenty District Council","1","Western Bay Of Plenty District Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Formulation, Industrial Use, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"BEACH1/01","Risk Management Programme","Dual operator butcher","London Street Butchery Limited","","9429050807628","Registered","2022-09-21","","Ministry for Primary Industries - Verification Services","No","","","","","19 London Street, Kaiti","Gisborne","Gisborne District Council","1","Gisborne District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"BEEBUZZ10/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Bee Buzz Apiaries Limited","","9429036812639","Registered","2019-04-05","","AsureQuality Limited","No","","","","","120 Sales Road, RD 1","Oxford","Waimakariri District Council","1","Waimakariri District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Collection, Extraction, Melting, Transport",""
"BEEJJ16/01","Risk Management Programme","Bee products - Bulk honey storage","Bee Active Apiaries Limited","","9429050449484","Registered","2020-02-18","","AsureQuality Limited","No","","","","","794 Mahuta Road, RD 1","Dargaville","Kaipara District Council","1","Kaipara District Council","N/A","N/A","Human Consumption","Honey","","Non-refrigerated storage (stand-alone), Transport",""
"BEELENT1/01","Risk Management Programme","Bee products - Bulk honey storage","Beelieve Enterprises Limited","","9429031119801","Registered","2022-12-13","","AsureQuality Limited","No","","","","","826 Oropi Road","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Human Consumption","Bee products, Beeswax","","Melting, Non-refrigerated storage (stand-alone), Refrigerated storage (stand-alone), Transport",""
"BEELINE101/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Beeline Apiaries Limited","","9429032853575","Registered","2009-10-21","","AsureQuality Limited","No","","","","","32 Otewa Road","Otorohanga","Otorohanga District Council","1","Otorohanga District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Comb honey, Honey, Pollen","","Drying/reduction of water activity, Extraction, Melting, Transport, Wrapping",""
"BEENO1/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Settlers Honey Limited","","9429036383870","Registered","2018-04-26","","AsureQuality Limited","No","","","","","395 Taumatatahi Road, Waitotara Valley","Wanganui","Whanganui District Council","1","Whanganui District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"BEENO2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Settlers Honey Limited","","9429036383870","Registered","2022-06-20","","AsureQuality Limited","No","","","","","539 Taumatatahi Road, Waitotara Valley","Wanganui","Whanganui District Council","1","Whanganui District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Comb honey","","Blending/mixing, Collection, Formulation, Non-refrigerated storage (processes & receives external product), Transport, Wrapping",""
"BEENO3/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Knopfhoney Limited (in receivership)","","9429031731645","Registered","2022-08-30","","AsureQuality Limited","No","","","","","22 Rowes Road","Hunterville","Rangitikei District Council","1","Rangitikei District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Honey","","Blending/mixing;Extraction, Collection, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Transport",""
"BEENZ2/01","Risk Management Programme","Custom","BeeNZ Limited","","9429041503843","Registered","2022-10-21","","Ministry for Primary Industries - Verification Services","No","","","","","85 Tetley Road, RD 2","Katikati","Far North District Council","1","Far North District Council","N/A","N/A","Human Consumption","Bee products, Beeswax","","Blending/mixing, Non-refrigerated storage (processes & receives external product), Retail sale",""
"BEESRUS2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Stephen Robert Black & Fiona Black","","9429034364291","Registered","2018-05-08","","AsureQuality Limited","No","","","","","77 Leith Road","Okato","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Comb honey, Dried pollen, Honey","","Blending/mixing, Drying/reduction of water activity, Extraction, Formulation, Melting, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Transport, Wrapping",""
"BEESTORE1/01","Risk Management Programme","Bee products - Bulk honey storage","Settlers Honey Limited","","9429036383870","Registered","2023-06-12","","AsureQuality Limited","No","","","","","459 Heads Road, Castlecliff","Wanganui","Whanganui District Council","1","Whanganui District Council","N/A","N/A","Human Consumption","Bee products","","Non-refrigerated storage (stand-alone), Transport",""
"BELKEE222/01","Risk Management Programme","Custom","D.J.H Trade Company Limited","","9429031030212","Registered","2014-12-10","","Ministry for Primary Industries - Verification Services","No","","","","","29B Paramount Drive, Henderson","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Fish","","Boning/cutting, Drying/reduction of water activity, Refrigeration, Transport",""
"BELLE01/01","Risk Management Programme","Dairy - Cheese domestic supply, Farm dairies - Domestic supply","Rodrigue Family Farm","Belle Chevre Creamery","9429045785207","Registered","2023-01-12","","FSQSNZ LIMITED","No","","","","","7 McLeod Road","Waipu","Whanganui District Council","1","Whanganui District Council","BELLE01","N/A","Human Consumption","Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Milk & cream, Soft & semi-soft cheese (MSNF > 60%)","Farm Dairy","Collection, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"BELLSHON2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Mackenzie Country Honey Limited","","9429031419659","Registered","2023-05-18","","Ministry for Primary Industries - Verification Services","No","","","","","5 North West Arch","Twizel","Mackenzie District Council","1","Mackenzie District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Comb honey, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Transport, Wrapping",""
"BELMONT26/01","Risk Management Programme","Chicken producers","RB & HM Weston Family Trust Partnership","","","Registered","2023-10-04","","Quality Consultants New Zealand Limited","No","","","","","[Private]","New Plymouth","New Plymouth District Council","1","New Plymouth District Council","N/A","N/A","Animal Consumption, Human Consumption","Broiler (meat) chickens","Chicken producer","",""
